開始,結束,段落,角色,演出動作,鏡頭,音效,字幕/對話,Unity事件,優先度
00:00,00:08,開場淡入,玩家,黑幕淡入，睜眼看到火堆與舞圈,第一人稱，視線從模糊到清楚,歌聲、鼓聲、火焰,字幕：1930.10.7 霧社,"FadeIn, EnableLookOnly",必要
00:08,00:25,婚禮建立,族人群眾,族人圍火跳舞、聊天、遞酒,慢速環繞火堆，展示竹屋與舞圈,笑聲、竹笛、酒杯碰撞,,StartAmbientNPC,必要
00:25,01:10,自由探索,玩家/NPC,玩家可與族人交談，聽祝福與生活對話,玩家自由視角,環境音保持熱鬧,互動提示：與族人交談,"EnablePlayerControl, EnableInteractNPC",必要
01:10,01:45,送酒任務,新郎/玩家/賓客,新郎請玩家把酒送給指定賓客,新郎中景 -> 玩家手部拿酒 -> 賓客反應,酒杯碰撞、笑聲,新郎：幫我把酒送給大家吧。,StartQuest_DeliverWine,必要
01:45,02:15,分享食物,玩家/族人,玩家拿烤肉或山產給族人，建立生活感,手部近景、族人微笑點頭,火烤聲、笑聲,NPC：願祖靈庇佑新人。,Quest_ShareFood,可選
02:15,02:50,加入舞蹈,玩家/舞圈族人,玩家靠近舞圈，按鍵加入，視角跟著舞步旋轉,短暫鎖控制，Cinemachine 環繞或第一人稱擺動,鼓聲變強，腳步聲,提示：按下互動加入舞蹈,"PlayTimeline_Dance, DisablePlayerControl",必要
02:50,03:05,氣氛轉暗,全場,音樂逐漸壓低，幾名族人看向山路,鏡頭從火堆慢慢轉向山路入口,鼓聲變慢，遠處腳步,,SetMood_Tension,必要
03:05,03:25,日警進場,兩名日本警察,兩名日警從山路走入婚禮會場,低角度拍靴子，再抬到黑制服與帽子,靴子踩石、皮帶金屬聲,,"SpawnPolice, PlayTimeline_PoliceEnter",必要
03:25,03:45,婚禮停止,族人群眾,歌舞停下，族人退開，新郎上前,群眾反應特寫：笑容消失、低頭、握拳,音樂只剩低鼓,,"StopDanceNPC, FocusGroom",必要
03:45,04:10,冷嘲與推倒酒杯,日警/新郎,日警嘲諷婚禮，推倒酒杯或踢翻酒碗,日警半身特寫 -> 酒灑地面近景 -> 新郎沉默,酒杯落地、液體灑出,日警：這種野蠻婚禮，竟然還敢辦得這麼熱鬧？,PlayDialogue_PoliceInsult,必要
04:10,04:35,壓迫升高,日警/族人,日警揮手推開擋路族人，另一名日警靠近女性族人,不用拍侵犯畫面，拍族人表情、手部後退、火光晃動,族人倒吸氣、鼓聲停止,,PlayTimeline_Intimidation,必要
04:35,04:55,玩家選擇,玩家,畫面壓暗，出現選項：上前阻止 / 沉默觀望,第一人稱固定，看向衝突中心,心跳聲、環境音壓低,選擇：上前阻止 / 沉默觀望,ShowChoiceUI,必要
04:55,05:30,分支 A：上前阻止,玩家/族人/日警,玩家上前，族人跟著阻止；日警拔槍威嚇，場面失控,快速切鏡：玩家跨步、族人拉住、日警手摸槍套,喊聲、槍機聲，可用黑幕避免血腥,族人：夠了！,Branch_Intervene,分支
04:55,05:30,分支 B：沉默觀望,玩家/族人/日警,玩家沒有上前，日警繼續羞辱，新郎與族人忍耐到極限,鏡頭留在玩家視角，族人眼神與握拳特寫,遠處爭執聲，火聲變大,新郎：我們只是辦婚禮。,Branch_Watch,分支
05:30,05:55,共同收束,日警/族人,日警離開，族人望向背影，現場一片沉默,背影遠景，族人站在火堆旁不動,腳步遠去、夜風,,"MergeBranches, PoliceLeave",必要
05:55,06:15,章節結尾,玩家/族人,鏡頭掃過族人憤怒又無力的表情，淡出,族人特寫 -> 火堆 -> 黑幕,低沉鼓聲回來,字幕：壓抑，正在接近臨界點。,"FadeOut, LoadNextChapterHint",必要
